iter	Passed	Remaining
0	171	515741
1	355	532690
2	491	491449
3	652	489064
4	766	459001
5	918	458285
6	1107	473437
7	1238	463348
8	1404	466888
9	1685	504037
10	1895	515066
11	2036	507085
12	2170	498792
13	2318	494478
14	2452	487988
15	2642	492811
16	2758	484106
17	2883	477699
18	2991	469312
19	3104	462577
20	3259	462330
21	3384	458110
22	3508	454075
23	3625	449552
24	3798	452071
25	3918	448194
26	4051	446161
27	4178	443555
28	4338	444424
29	4560	451450
30	4755	455493
31	4865	451257
32	4962	446165
33	5044	440098
34	5140	435451
35	5223	430073
36	5314	425602
37	5434	423630
38	5523	419393
39	5614	415450
40	5718	412722
41	5820	409911
42	5913	406652
43	6002	403254
44	6097	400410
45	6178	396788
46	6271	394035
47	6378	392258
48	6444	388144
49	6548	386388
50	6695	387181
51	6787	384806
52	6847	380760
53	6906	376781
54	6971	373292
55	7025	369328
56	7081	365646
57	7140	362171
58	7196	358738
59	7254	355453
60	7318	352611
61	7373	349406
62	7431	346443
63	7488	343540
64	7545	340695
65	7600	337898
66	7661	335387
67	7715	332665
68	7774	330245
69	7835	327990
70	7898	325841
71	7960	323715
72	8023	321694
73	8076	319357
74	8137	317375
75	8198	315409
76	8253	313316
77	8310	311325
78	8381	309905
79	8459	308761
80	8518	306999
81	8577	305221
82	8639	303617
83	8693	301793
84	8753	300180
85	8810	298540
86	8871	297055
87	8933	295622
88	8991	294076
89	9045	292468
90	9114	291361
91	9184	290309
92	9237	288757
93	9296	287402
94	9352	285991
95	9405	284505
96	9467	283337
97	9526	282107
98	9580	280743
99	9638	279528
100	9697	278350
101	9760	277310
102	9814	276034
103	9873	274934
104	9930	273795
105	9985	272624
106	10043	271555
107	10098	270418
108	10155	269359
109	10212	268317
110	10271	267348
111	10333	266454
112	10392	265507
113	10471	265084
114	10529	264156
115	10584	263164
116	10643	262277
117	10696	261255
118	10750	260262
119	10803	259293
120	10863	258472
121	10919	257588
122	10977	256771
123	11028	255796
124	11092	255130
125	11154	254440
126	11215	253714
127	11276	253017
128	11334	252256
129	11390	251459
130	11444	250645
131	11504	249965
132	11563	249263
133	11617	248482
134	11675	247789
135	11733	247093
136	11788	246345
137	11841	245575
138	11897	244887
139	11953	244189
140	12014	243603
141	12070	242948
142	12132	242405
143	12186	241697
144	12242	241052
145	12299	240432
146	12363	239945
147	12438	239690
148	12519	239542
149	12574	238913
150	12631	238325
151	12690	237779
152	12747	237211
153	12806	236678
154	12865	236135
155	12925	235641
156	12985	235151
157	13045	234651
158	13099	234069
159	13166	233701
160	13224	233194
161	13291	232849
162	13352	232401
163	13412	231944
164	13469	231439
165	13528	230960
166	13582	230410
167	13636	229866
168	13692	229375
169	13757	229026
170	13813	228526
171	13875	228146
172	13929	227622
173	13986	227159
174	14040	226657
175	14096	226176
176	14155	225767
177	14212	225329
178	14273	224953
179	14339	224649
180	14400	224283
181	14455	223820
182	14518	223483
183	14595	223372
184	14649	222910
185	14702	222432
186	14761	222048
187	14812	221550
188	14875	221241
189	14929	220804
190	14989	220447
191	15043	220018
192	15105	219694
193	15166	219360
194	15223	218990
195	15283	218651
196	15340	218267
197	15399	217930
198	15457	217568
199	15512	217180
200	15570	216821
201	15624	216417
202	15677	216014
203	15747	215834
204	15800	215431
205	15861	215128
206	15918	214786
207	15975	214434
208	16044	214258
209	16128	214278
210	16219	214387
211	16281	214113
212	16338	213787
213	16403	213545
214	16458	213199
215	16517	212891
216	16578	212611
217	16638	212335
218	16695	212012
219	16747	211629
220	16803	211299
221	16867	211075
222	16930	210830
223	16992	210586
224	17062	210439
225	17119	210132
226	17176	209821
227	17232	209509
228	17288	209195
229	17349	208942
230	17430	208942
231	17551	209412
232	17611	209150
233	17665	208811
234	17726	208565
235	17788	208336
236	17844	208040
237	17908	207830
238	17964	207530
239	18024	207283
240	18078	206970
241	18137	206709
242	18202	206522
243	18261	206260
244	18315	205958
245	18373	205695
246	18438	205513
247	18502	205318
248	18562	205081
249	18645	205099
250	18709	204914
251	18765	204632
252	18821	204363
253	18879	204107
254	18942	203907
255	19005	203719
256	19072	203560
257	19136	203382
258	19192	203109
259	19249	202854
260	19304	202586
261	19361	202331
262	19424	202150
263	19480	201891
264	19539	201661
265	19597	201426
266	19654	201186
267	19714	200973
268	19782	200845
269	19859	200803
270	19929	200689
271	19986	200452
272	20047	200253
273	20101	199987
274	20157	199745
275	20219	199558
276	20277	199335
277	20368	199440
278	20462	199561
279	20527	199410
280	20583	199165
281	20647	199009
282	20717	198900
283	20774	198671
284	20828	198421
285	20892	198259
286	20950	198045
287	21010	197845
288	21063	197588
289	21117	197340
290	21174	197115
291	21231	196897
292	21285	196652
293	21345	196462
294	21404	196267
295	21462	196058
296	21515	195816
297	21574	195614
298	21633	195429
299	21693	195244
300	21767	195181
301	21836	195080
302	21897	194912
303	21958	194735
304	22018	194554
305	22075	194353
306	22132	194150
307	22191	193958
308	22244	193720
309	22301	193521
310	22360	193339
311	22417	193134
312	22483	193017
313	22542	192827
314	22597	192612
315	22653	192409
316	22719	192293
317	22773	192068
318	22831	191884
319	22889	191702
320	22950	191538
321	23016	191420
322	23075	191245
323	23133	191065
324	23191	190883
325	23254	190740
326	23316	190593
327	23377	190443
328	23435	190259
329	23491	190071
330	23551	189904
331	23611	189743
332	23666	189547
333	23724	189367
334	23789	189250
335	23848	189084
336	23902	188878
337	23955	188665
338	24010	188473
339	24065	188277
340	24122	188096
341	24179	187923
342	24233	187721
343	24288	187526
344	24343	187336
345	24397	187144
346	24461	187018
347	24519	186857
348	24571	186647
349	24627	186467
350	24685	186297
351	24747	186169
352	24812	186057
353	24878	185952
354	24929	185742
355	24983	185554
356	25043	185406
357	25097	185220
358	25152	185036
359	25207	184857
360	25261	184670
361	25320	184521
362	25378	184361
363	25435	184197
364	25499	184088
365	25556	183920
366	25612	183756
367	25668	183586
368	25725	183425
369	25788	183304
370	25847	183160
371	25908	183030
372	25966	182882
373	26026	182744
374	26078	182550
375	26138	182413
376	26195	182255
377	26251	182090
378	26304	181910
379	26361	181756
380	26418	181604
381	26473	181434
382	26530	181280
383	26584	181104
384	26634	180910
385	26694	180777
386	26752	180628
387	26816	180529
388	26870	180358
389	26927	180205
390	26983	180052
391	27043	179922
392	27095	179741
393	27153	179600
394	27206	179425
395	27264	179281
396	27322	179142
397	27377	178986
398	27430	178815
399	27489	178683
400	27540	178499
401	27598	178360
402	27654	178209
403	27711	178063
404	27777	177980
405	27831	177821
406	27890	177688
407	27944	177531
408	28001	177391
409	28058	177245
410	28113	177094
411	28175	176985
412	28235	176867
413	28290	176710
414	28345	176562
415	28400	176412
416	28457	176270
417	28520	176171
